Nome file,Dimensione,Cartella Diretta,Cartella Base,HDD
[1984] Gremlins (30th Anniv) [1080p.HEVC.10bit] (by.phadron).mkv,5.4GB,Film.Gremlins,FILM,Arietty
[2017] Logan - The Wolverine - EXTENDED [1080p.x264.ITA-ENG] (by.phadron) MIRCrew.mkv,8.0GB,X-men,FILM MARVEL,Arietty
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 01 - Trapassa.i.Cieli.con.la.tua.Trivella!.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 02 - Ho.Detto.che.lo.Piloterò.Io!.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 03 - Due.Belle.Facce.Toste!.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 04 - Tante.Facce.non.ti.Rendono.Migliore!.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 05 - Proprio.non.Riesco.a.Capire!.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 06 - Quello.che.Voglio.Vedere.lo.Voglio.Vedere.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 07 - Di.Questo.te.ne.Occuperai.Tu!.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
"[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 08 - Addio,.Amici.Miei.[MRADJ].mkv",748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 09 - Che.Cosa.Significa.la.Parola.“Persona”.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 10 - Chi.Era.la.Persona.che.Chiami“Fratello”.[MRADJ].mkv,748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
"[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 11 - Simon,.Togli.le.Mani.[MRADJ].mkv",748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
"[BDMux1080p.x264.AC3.ITA.JAP.ENG.].Sfondamento.dei.Cieli.Gurren.Lagann - 12 - Yoko,.mi.Faresti.un.Favore.[MRADJ].mkv",748MB,Sfondamento dei Cieli Gurren Lagann BDMux 1080p ITA-JAP-ENG,ANIME,Arietty
